Year,URBANISATION,AREA,Series,Value
2000,Camp,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Camp,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Camp,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Camp,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Camp,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Camp,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Camp,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Camp,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Camp,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Camp,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Camp,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Camp,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Camp,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Camp,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Camp,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Camp,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Camp,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Camp,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Camp,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Camp,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Camp,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Camp,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Camp,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Camp,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Camp,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Camp,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Camp,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Camp,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Camp,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Camp,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Camp,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Camp,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Camp,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Camp,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Camp,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Camp,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Camp,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Camp,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Camp,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Camp,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Camp,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Camp,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Camp,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Camp,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Camp,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Camp,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Camp,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Camp,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Camp,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Camp,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Camp,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Camp,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Camp,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Camp,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Camp,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Camp,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Camp,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Camp,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Camp,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Camp,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Camp,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Camp,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Camp,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Camp,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Camp,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Camp,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Camp,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Camp,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Camp,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Camp,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Camp,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Camp,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Camp,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Camp,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Camp,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Camp,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Camp,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Camp,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Camp,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Camp,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Camp,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Camp,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Camp,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Camp,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Camp,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Camp,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Camp,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Camp,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Camp,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Camp,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Camp,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Camp,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Camp,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Camp,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Camp,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Camp,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Camp,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Camp,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Camp,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Camp,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Camp,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Camp,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Camp,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Camp,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Camp,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Camp,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Camp,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Camp,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Camp,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Camp,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Camp,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Camp,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Camp,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Camp,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Camp,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Camp,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Camp,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Camp,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Camp,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Camp,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Camp,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Camp,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Camp,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Camp,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Camp,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Camp,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Camp,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Camp,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Camp,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Camp,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Camp,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Camp,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Camp,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Camp,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Camp,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Camp,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Camp,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Camp,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Camp,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Camp,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Camp,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Camp,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Camp,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Camp,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Camp,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Camp,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Camp,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Camp,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Camp,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Camp,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Camp,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Camp,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Camp,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Camp,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Camp,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Camp,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Camp,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Camp,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Camp,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Camp,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Camp,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Camp,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Camp,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Camp,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Camp,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Camp,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Camp,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Camp,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Camp,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Camp,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Camp,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Camp,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Camp,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Camp,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Camp,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Camp,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Camp,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Camp,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Camp,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Camp,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Camp,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Camp,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Camp,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Camp,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Camp,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Camp,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Camp,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Camp,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Camp,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Camp,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Camp,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Camp,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Camp,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Camp,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Camp,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Camp,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Camp,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Camp,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Camp,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Camp,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Camp,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Camp,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Camp,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Camp,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Total,West Bank,"Proportion of population using a hand-washing facility with soap and water by URBANISATION, AREA and TIME PERIOD",95.5
2019,Total,Gaza Strip,"Proportion of population using a hand-washing facility with soap and water by URBANISATION, AREA and TIME PERIOD",94.7
2019,Total,Palestine,"Proportion of population using a hand-washing facility with soap and water by URBANISATION, AREA and TIME PERIOD",95.2
2019,Urban,West Bank,"Proportion of population using a hand-washing facility with soap and water by URBANISATION, AREA and TIME PERIOD",
2019,Urban,Gaza Strip,"Proportion of population using a hand-washing facility with soap and water by URBANISATION, AREA and TIME PERIOD",
2019,Urban,Palestine,"Proportion of population using a hand-washing facility with soap and water by URBANISATION, AREA and TIME PERIOD",95.4
2019,Rural,West Bank,"Proportion of population using a hand-washing facility with soap and water by URBANISATION, AREA and TIME PERIOD",
2019,Rural,Gaza Strip,"Proportion of population using a hand-washing facility with soap and water by URBANISATION, AREA and TIME PERIOD",
2019,Rural,Palestine,"Proportion of population using a hand-washing facility with soap and water by URBANISATION, AREA and TIME PERIOD",93.9
2019,Camp,West Bank,"Proportion of population using a hand-washing facility with soap and water by URBANISATION, AREA and TIME PERIOD",
2019,Camp,Gaza Strip,"Proportion of population using a hand-washing facility with soap and water by URBANISATION, AREA and TIME PERIOD",
2019,Camp,Palestine,"Proportion of population using a hand-washing facility with soap and water by URBANISATION, AREA and TIME PERIOD",94.9
2014,Total,West Bank,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",
2019,Total,West Bank,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",0.0
2014,Total,Gaza Strip,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",
2019,Total,Gaza Strip,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",0.1
2014,Total,Palestine,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",0.0
2019,Total,Palestine,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",0.0
2014,Total,Jenin,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",0.1
2019,Total,Jenin,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",
2014,Total,Tubas & Northern Valleys,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",0.0
2019,Total,Tubas & Northern Valleys,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",
2014,Total,Tulkarm,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",0.0
2019,Total,Tulkarm,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",
2014,Total,Nablus,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",0.0
2019,Total,Nablus,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",
2014,Total,Qalqiliya,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",0.0
2019,Total,Qalqiliya,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",
2014,Total,Salfit,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",0.0
2019,Total,Salfit,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",
2014,Total,Ramallah & Al-Bireh,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",0.0
2019,Total,Ramallah & Al-Bireh,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",
2014,Total,Jericho & AL Aghwar,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",0.0
2019,Total,Jericho & AL Aghwar,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",
2014,Total,Jerusalem,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",0.0
2019,Total,Jerusalem,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",
2014,Total,Bethlehem,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",0.0
2019,Total,Bethlehem,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",
2014,Total,Hebron,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",0.0
2019,Total,Hebron,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",
2014,Total,North Gaza,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",0.0
2019,Total,North Gaza,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",
2014,Total,Gaza,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",0.0
2019,Total,Gaza,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",
2014,Total,Dier Al-Balah,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",0.0
2019,Total,Dier Al-Balah,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",
2014,Total,Khan Yunis,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",0.0
2019,Total,Khan Yunis,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",
2014,Total,Rafah,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",0.0
2019,Total,Rafah,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",
2014,Urban,West Bank,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",
2019,Urban,West Bank,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",
2014,Urban,Gaza Strip,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",
2019,Urban,Gaza Strip,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",
2014,Urban,Palestine,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",0.0
2019,Urban,Palestine,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",0.0
2014,Urban,Jenin,"Proportion of population practicing open defecation by URBANISATION, AREA and TIME PERIOD",
